,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09
2022-04-21,0.06,0.155,0.375,0.675,0.995,1.25,1.56,1.9,2.055,2.1,2.285,2.5,2.69,2.865,2.97,3.085,3.195,3.22,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-26,0.06,0.185,0.465,0.835,1.195,1.485,1.82,2.19,2.375,2.395,2.565,2.78,2.98,3.175,3.28,3.39,3.495,3.515,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-27,0.06,0.16,0.43,0.815,1.185,1.48,1.825,2.18,2.365,2.39,2.57,2.785,2.965,3.145,3.25,3.34,3.425,3.435,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-28,0.06,0.25,0.565,0.955,1.33,1.63,1.95,2.295,2.47,2.505,2.68,2.895,3.065,3.175,3.275,3.345,3.385,3.385,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-29,0.06,0.24,0.56,0.97,1.365,1.655,1.975,2.305,2.5,2.53,2.705,2.875,3.045,3.155,3.255,3.325,3.365,3.365,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-02,0.06,0.23,0.53,0.925,1.34,1.63,1.965,2.32,2.515,2.54,2.725,2.915,3.055,3.17,3.23,3.31,3.355,3.37,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-03,,0.195,0.5,0.895,1.315,1.62,1.985,2.36,2.565,2.595,2.79,3.005,3.185,3.31,3.38,3.44,3.475,3.475,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-04,,0.28,0.65,1.08,1.5,1.82,2.185,2.56,2.765,2.795,2.99,3.205,3.385,3.51,3.58,3.64,3.675,3.675,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-05,,0.285,0.635,1.12,1.595,1.975,2.38,2.9,3.025,3.06,3.25,3.465,3.645,3.77,3.84,3.9,3.935,3.935,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06,,0.285,0.605,1.04,1.53,1.885,2.29,2.71,2.89,2.925,3.095,3.26,3.44,3.565,3.635,3.695,3.73,3.73,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-09,,0.285,0.61,1.065,1.555,1.94,2.355,2.79,2.985,3.02,3.19,3.37,3.495,3.575,3.61,3.62,3.62,3.625,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-10,,0.285,0.595,1.015,1.5,1.875,2.325,2.77,2.945,2.985,3.175,3.34,3.47,3.56,3.6,3.62,3.625,3.63,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-11,,0.285,0.575,0.95,1.39,1.765,2.195,2.655,2.85,2.885,3.06,3.24,3.38,3.465,3.515,3.555,3.56,3.565,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-12,,0.285,0.58,0.97,1.41,1.77,2.18,2.615,2.805,2.835,3.005,3.185,3.33,3.415,3.455,3.48,3.48,3.48,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-13,,0.285,0.57,0.935,1.365,1.71,2.13,2.555,2.73,2.755,2.9,3.08,3.225,3.31,3.35,3.375,3.375,3.375,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16,,0.28,0.565,0.91,1.315,1.65,2.04,2.44,2.635,2.675,2.86,3.04,3.13,3.225,3.265,3.29,3.29,3.29,,,,,,,,,,,,,,,,,,,,,,,,
